PV	Ca	Na	K	SO4	SCN
0.648128162	0	0.000924717	0.00032675	0.000492509	0
0.781011804	0	0.001472365	0.000415863	0.000499047	0.000436835
0.913895447	0	0	0.001722861	0.000444566	0.004245136
0.980337268	0.000609087	0.002235481	0.002861534	0.000457641	0.00871989
1.046779089	0.003715379	8.97784E-06	0.003604146	0.000370471	0.014706764
1.113220911	0.005831843	0.000296269	0.003425919	0.000381367	0.019170318
1.179662732	0.006737174	0.001723745	0.002792223	0.000420594	0.021768923
1.246104553	0.00627445	0.003178154	0.002267444	0.000385726	0.023846688
1.312546374	0.006608416	0.012452258	0.0019803	0.000313811	0.024826765
1.378988196	0.005751369	0.014328626	0.001435718	0.000337783	0.025157192
1.445430017	0.004451716	0.013430843	0.001009953	0.000499047	0.024345127
1.511871838	0.004149939	0.01422987	0.000841628	0.000309452	0.024529942
1.578313659	0.002166257	0.019823062	0.000564386	0.000930537	0.024496339
1.644755481	0.002476081	0.025371364	0.000455469	0.004304004	0.024765161
1.711197302	0.002612887	0.03800318	0.000356454	0.011900844	0.024277922
1.777639123	0.003522242	0.047106705	0.000356454	0.017915554	0.023286644
1.844080944	0.004009109	0.054405686	0.000514878	0.020713702	0.02349386
1.910522766	0.003908517	0.056641167	0.00032675	0.021853446	0.0239979
1.976964587	0.003642953	0.056802768	0.000336651	0.021953691	0.023824286
2.043406408	0.004580474	0.053247545	0.000346553	0.022380823	0.023684275
2.109848229	0.006511848	0.054082484	0.00039606	0.023198039	0.023633871
2.176290051	0.008596122	0.054468531	0.000514878	0.024098066	0.024697955
2.242731872	0.011054599	0.046379501	0.000663401	0.025080904	0.024524342
2.309173693	0.011706438	0.047582531	0.000821825	0.025902479	0.024305924
2.375615514	0.013138873	0.04563434	0.001247589	0.026497412	0.024865969
2.442057336	0.013275679	0.039717946	0.00171296	0.02517897	0.023208237
2.508499157	0.013130826	0.039349855	0.002584292	0.025551621	0.02337065
2.574940978	0.012587627	0.04028355	0.003851684	0.02492182	0.022894612
2.641382799	0.011726556	0.044170953	0.005495333	0.026022337	0.024199516
2.707824621	0.010213647	0.04248312	0.006802331	0.025388178	0.023684275
2.774266442	0.010354476	0.045445806	0.008752927	0.026462544	0.025084386
2.840708263	0.00957388	0.045652296	0.010198546	0.026262054	0.024675553
2.92376054	0.009078965	0.045984476	0.012020422	0.025922092	0.024524342
3.123086003	0.007393037	0.041935472	0.014565108	0.025518932	0.024210717
3.322411467	0.006197999	0.043066679	0.016604817	0.025270499	0.02424992
3.654620573	0.004375265	0.043192369	0.018713836	0.025305366	0.02413231
3.98682968	0.003763664	0.04314748	0.019763395	0.025135385	0.024289123
4.319038786	0.003469934	0.049818012	0.020951575	0.026087715	0.025319604
4.651247892	0.003365318	0.046585991	0.021991233	0.026240262	0.02528600
