Basis	MolWeight
Ag+	107.868
Al+3	26.98154
Am+3	243
Ar	39.948
Au+	196.9665
Ba+2	137.33
Be+2	9.01218
Bi+3	208.9804
BO2-	42.8088
Br-	79.904
Ca+2	40.08
Cd+2	112.41
Ce+3	140.116
Cl-	35.453
Co+3	58.9332
Cr+3	51.9961
Cs+	132.9054
Cu+	63.546
Dy+3	162.5
e-	0
Er+3	167.259
Eu+3	151.964
F-	18.998403
Fe+3	55.847
Fr+	223
Ga+3	69.735
GdO+	173.2494
H2O	18.0152
H+	1.0079
HAsO4-2	139.92714
HCO3-	61.0171
HPO4-2	95.979301
He	4.0026
Hf+4	178.49
Hg+2	200.59
HoO+	180.92972
I-	126.9045
In+3	114.82
K+	39.0983
Kr	83.8
La+3	138.9055
Li+	6.941
Lu+3	174.967
Mg+2	24.305
Mn+2	54.938
MoO4-2	159.9376
Na+	22.98977
NbO3-	140.9046
Nd+3	144.24
Ne	20.179
Ni+2	58.7
NO3-	62.0049
Pb+2	207.2
Pd+2	106.4
Pm+3	145
Pr+3	140.90765
Pt+2	195.078
Ra+2	222
Rb+	85.4678
Rh+3	102.9055
Rn	222
RuO4-2	165.1676
Sc+3	44.9559
SeO4-2	142.9576
SiO2	56.171
Sm+3	150.36
Sn+2	118.69
SO4-2	96.0626
Sr+2	87.62
Tb+3	158.92534
TcO4-	162.9038
Tl+3	204.37
Tm+3	168.93421
U+3	238.029
VO4-3	114.9391
WO4-2	247.8476
Xe	131.3
Y+3	88.9059
Yb+3	173.04
Zn+2	65.38
Zr+4	91.22
